ID,Title,url,images,Type,Period,Materials,Measurements,Artist,Description,Illusion,Credit Line
2004.19.11.4,One Scroll from Peach Blossom Spring,https://search.museums.ualberta.ca/21-20451,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_011_004_s21-10v01.jpg,hanging scroll,Qing 18th century,ink and colour on silk,,Yuan Jiang,,,Gift of Sandy and Cécile Mactaggart
2005.5.47,Embroidered Cream Silk Uncut Facings for a Woman's Jacket,https://search.museums.ualberta.ca/21-19269,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_047_ve_s20-02v01.jpg,facings,Qing 19th century,silk satin; silk floss; gold wrapped silk thread; embroidery,overall: 80.6 cm x 73.3 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.2.43,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-20054,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_043_s21-10v01.jpg,album leaf,Qing 18th century,ink; paper,sheet: 17.2 cm x 27.9 cm; image: 10.7 cm x 16.4 cm,unknown,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of two male soldiers in military uniform. The man on the left wears a blue robe under a black vest, while holding a long decorative staff. The man on the right wears studded armour and has a musket and sheathed sword.",,Gift of Sandy and Cécile Mactaggart
2004.19.11.3,One Scroll from Peach Blossom Spring,https://search.museums.ualberta.ca/21-20450,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_011_003_s21-10v01.jpg,hanging scroll,Qing 18th century,ink and colour on silk,,Yuan Jiang,,,Gift of Sandy and Cécile Mactaggart
2004.19.3.12,Album Leaf from Insects,https://search.museums.ualberta.ca/21-20085,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_003_012_s21-03v01.jpg,album leaf,Qing 18th-19th centuries,ink; paper,sheet: 35.3 cm x 43.3 cm; image: 19.2 cm x 29.2 cm,unknown,A painting of two grasshoppers and three butterflies.,,Gift of Sandy and Cécile Mactaggart
2009.8.10,Embroidered Burgundy Silk Damask Jacket for a Woman,https://search.museums.ualberta.ca/21-22447,https://media.museums.ualberta.ca/UAAC/ppt/2009/09_008_010s01v01d01.jpg,jacket,,burgundy silk damask with embroidered white silk satin sleeve bands and black silk facings with appliqué bats,overall: 93 cm x 157.5 cm,unknown,,,Gift of Jean Small
2005.5.593.1.1,Right Side of the Front Panel of a Rank Badge for a Fourth Rank Military Official,https://search.museums.ualberta.ca/21-20697,https://media.museums.ualberta.ca/UAAC/ppt/2009/09_008_010s01v01d01.jpg,rank badge,Qing 19th century,copper-wrapped silk thread; gold wrapped silk thread; ink; linen; silk; silver wrapped silk thread; tapestry weave,overall: 27.9 cm x 14.8 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.447,Uncut Embroidered Red Silk Bridal Dragon Robe,https://search.museums.ualberta.ca/21-19669,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_447_ve_s23-01v01.jpg,yardage,Qing 19th-20th centuries,brass; cotton; gold wrapped silk thread; silk floss; silk satin; embroidery,overall: 202 cm x 107.5 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2010.20.1.8.4,"Magnificent Record of the Southern Tours, volume 46, chapters 114-115",https://search.museums.ualberta.ca/21-23728,https://media.museums.ualberta.ca/UAAC/bfw/2010/2010_020_001_008_004_s20-02v01.jpg,book,,"printed woodblock, thread binding",overall: 29.8 cm x 20.5 cm,Gao Jin,"One set of the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Volume 46, Chapter 114-115. Zouyi [Court memorials]. Woodblock printed, thread binding.",,Gift of Sandy and Cécile Mactaggart
2005.5.595.2,Back Panel of a Rank Badge for a Fourth Rank Military Official,https://search.museums.ualberta.ca/21-20705,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_595_002_ve_s19-12v01.jpg,rank badge,Qing 19th century,silk and metal-wrapped thread embroidery with ink,overall: 29.4 cm x 30.9 cm,unknown,"Qing Period (1644-1911), Fourth Rank Military Official (Tiger)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",,Gift of Sandy and Cécile Mactaggart
2004.19.38.1,Album Leaf from Album of Figures,https://search.museums.ualberta.ca/21-20400,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_038_001_s21-10v01.jpg,album leaf,Qing 19th century,ink and colour on paper,,Ren Yi,"This album leaf marks the first inscribed page of the figure album by Ren Yi (also known as Ren Bonian), showcasing a four-line poem with seven characters per line. Written in cursive script, the characters exhibit fluid and expressive strokes. Unlike the subsequent pages, which pair poetry with painting, this inscription stands alone without accompanying artwork. The calligraphy was crafted by Cuo Wen (also known as Liu Taixi), a close friend of Zhou Maifu, who was invited to inscribe these poems in the album.","無盡山容不定雲/Endless mountain forms, ever-shifting clouds
雲山為主我為賓/ Clouds and mountains are the host while I am the guest
何須徑上終南頂/Why strive to reach the summit's… 

													無盡山容不定雲/Endless mountain forms, ever-shifting clouds
雲山為主我為賓/ Clouds and mountains are the host while I am the guest
何須徑上終南頂/Why strive to reach the summit's peak?
才是羲皇以上人/Only people lives in the era of the ancient Emperor Fuxi are carefree.
勱夫賢友屬題/Inscription by 錯翁 Cuo Weng (Alias of Liu Taixi) on commission of Maifu 
Read More +",Gift of Sandy and Cécile Mactaggart
2005.5.410,Two Red and Blue Silk Velvet Chair Covers,https://search.museums.ualberta.ca/21-19632,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_038_001_s21-10v01.jpg,chair cover,Qing 19th-20th centuries,silk cut velvet,,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.9.11,Album Leaf from Album of Landscapes,https://search.museums.ualberta.ca/21-20508,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_009_011_s21-10v01.jpg,album leaf,Qing 17th-18th centuries,ink and colour on paper,overall: 3.3 cm x 16.8 cm x 26.6 cm; image: 16 cm x 9.9 cm,Yao Song,,,Gift of Sandy and Cécile Mactaggart
2005.5.63,Pair of Embroidered Silk Sleeve Bands Mounted as a Panel,https://search.museums.ualberta.ca/21-19285,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_063_s19-12v01.jpg,panel,Qing 19th century,silk satin; silk twill; silk brocade; silk floss; embroidery,overall: 71.3 cm x 38.3 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.199,Embroidered Red Silk Robe for a Woman,https://search.museums.ualberta.ca/21-19421,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_199_ve_s21-03v01.jpg,robe,Qing 19th century,red silk satin embroidered with silk,overall: 147.4 cm x 183 cm; neck to hem: 147.4 cm; cuff to cuff: x 183 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.72.10,Album Leaf from Figures in River Landscapes,https://search.museums.ualberta.ca/21-20444,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_072_010_s21-03v01.jpg,album leaf,Qing 18th century,ink and colour on paper,,Wang Gai,"This is the tenth leaf from the Figures in River Landscape album by Wang Gai (1677-1705), which is painted with ink and colour on paper. Each leaf contains a landscape, which was painted in situby Wang Gai. Repeating themes throughout the album include figures immersed in the natural environment, which reflects the literati’s yearning and nostalgia.
In this scene, a man looks out of one of  five cottages, which are surrounded by mountains and a lake. There is a waterfall in the distance and a boat docked by the cottages.",,Gift of Sandy and Cécile Mactaggart
2005.5.545.2,Back Panel of a Rank Badge for a Second Rank Civil Official,https://search.museums.ualberta.ca/21-20613,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_545_002_ve_s19-12v01.jpg,rank badge,Qing 19th century,gold wrapped silk thread; silk; silk gauze; silk satin; silver wrapped silk thread; beads; silk floss; embroidery,overall: 30.8 cm x 31.7 cm,unknown,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird or beast was seen on rank badges. 
This rank badge features a golden pheasant, representing a second-rank civil official. It is perched on a rock and gazing at a sun disc in the top left corner. Surrounding the birds in this badge are clouds and waves. This badge is made with gold and silver metal-wrapped thread and details rendered in multi-coloured silk floss.",,Gift of Sandy and Cécile Mactaggart
2005.5.245,Three Embroidered Green Silk Fragments,https://search.museums.ualberta.ca/21-19467,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_545_002_ve_s19-12v01.jpg,fragment,Ming 15th century,gold wrapped silk thread; silk floss; silk satin; embroidery,,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.143.4,Imperial Yellow Silk Brocade Document Cover,https://search.museums.ualberta.ca/21-20820,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_143_004_re_s21-03v01.jpg,document cover,Qing 19th century,silk; silk brocade; silk twill; gold wrapped silk thread,overall: 105.7 cm x 106.8 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.97,Yellow Silk Brocade Bed Hanging,https://search.museums.ualberta.ca/21-19319,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_097_re_s21-03v01.jpg,panel,Qing 18th century,gold wrapped silk thread; silk brocade; silk cut velvet; silk satin; cotton padding; silk floss braid,overall: 237 cm x 153 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.2.16,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-19968,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_016_s21-10v01.jpg,album leaf,Qing 18th century,ink; paper,sheet: 17.2 cm x 28 cm; image: 11.3 cm x 18.6 cm,unknown,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf has an ink and watercolour depiction of two male figures – a soldier and his servant. The figure on the left, the soldier, holds a long musket on his soldier. He wears a short red jacket over a long blue robe, black boots and a coned hat with red tassels. His servant carries a long stick, possibly a ramrod, and wears a black jacket over a long purple robe, black boots, and a yellow coned hat.",,Gift of Sandy and Cécile Mactaggart
2005.5.42.1,Blue Silk Panel made from a Fragment of a Woman's Skirt,https://search.museums.ualberta.ca/21-20867,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_042_001_s19-12v01.jpg,panel,Qing 19th-20th centuries,silk; embroidery; braid,overall: 40.8 cm x 33.1 cm,unknown,(Has gold teeth),,Gift of Sandy and Cécile Mactaggart
2004.19.46,Geese in a Landscape,https://search.museums.ualberta.ca/21-19111,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_046_s21-03v01.jpg,painting,Modern 20th century,ink and colour on paper,sheet: 105.7 cm x 184.2 cm; image: 69.2 cm x 131.3 cm,Lin Fengmian,A landscape painting of geese flying by a river.,Signed by Lin Fengmian and impressed with 1 artist seal.,Gift of Sandy and Cécile Mactaggart
2004.19.2.1,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-19945,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_001_s21-10v01.jpg,album leaf,Qing 18th century,ink; paper,sheet: 17.2 cm x 28.1 cm; image: 11.3 cm x 18.5 cm,unknown,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour drawing of three male figures in military costume with weapons. Each figure is labelled with a caption that distinguishes their rank as Mandarin soldiers.",,Gift of Sandy and Cécile Mactaggart
2004.19.10,Fishing Village,https://search.museums.ualberta.ca/21-19075,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_001_s21-10v01.jpg,painting,Modern 20th century,ink and colour on paper,sheet: 83.5 cm x 106.1 cm; image: 68.1 cm x 86.9 cm,"Wu Guanzhong											
											 
												
												
													
														View People Details ?","Using a combination of rough, thick brush sketches and coloured ink, the painting Fishing Village by Wu Guanzhong (1919-2010) depicts the seaside view of Shitang - located in the eastern part of Zhejiang province. The foreground is dominated by geometrically-shaped residential houses, which accurately capture the characteristics of white-walled and black-tiled Jiangnan style residential buildings. The background, mainly delineated by curvilinear lines, presents the ebb and flow of the sea. In the upper right corner of the painting, Wu Guanzhong wrote, “Ten days in the fishing village reminiscing about Shitang, busy with work all day and night, the islanders have no time to enjoy the sea waves.” This suggests the overall nostalgic tone of the painting – the artist’s longing for Shitang.",Signed by Wu Guanzhong.,Gift of Sandy and Cécile Mactaggart
2005.5.230.3,Silk Tapestry Weave Fragmentary Panel,https://search.museums.ualberta.ca/21-20884,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_230_003_ve_s19-12v01.jpg,panel,Qing 17th-18th centuries,gold wrapped silk thread; silk; silk tapestry weave,overall: 36.2 cm x 37.6 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.598,Front Panel of a Rank Badge for a Censor,https://search.museums.ualberta.ca/21-19820,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_598_ve_s23-03v01.jpg,rank badge,Qing 19th century,gold wrapped silk thread; linen; silk; tapestry weave,,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.621.5.2,Storage Box for a Court Necklace,https://search.museums.ualberta.ca/21-21041,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_621_005_002_s20-02v01.jpg,box,Qing 19th century,cardboard; cotton; silk; mirror,overall: 5.9 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.2.32,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-20026,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_032_s21-10v01.jpg,album leaf,Qing 18th century,ink; paper,sheet: 17.2 cm x 28 cm; image: 11.2 cm x 18.5 cm,unknown,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of three soldiers. The man on the left, dressed in a short jacket over a tied-up robe and narrow pants, holds a musket. The man on the far right wears studded armour while  holding a spear and arrows. The man in front of him wears a black jacket over narrow pants and holds an edged weapon with a long handle.",,Gift of Sandy and Cécile Mactaggart
2005.5.587.1.2,Left Side of the Front Panel of a Rank Badge for a Ninth Rank Civil Official,https://search.museums.ualberta.ca/21-20681,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_032_s21-10v01.jpg,rank badge,Qing 19th-20th centuries,gold wrapped silk thread; linen; silk; silver wrapped silk thread; embroidery,overall: 21.8 cm x 11.4 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.603,Front and Back Panels of a Rank Badge for a Fifth Rank Military Official,https://search.museums.ualberta.ca/21-19825,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_603_002_re_s19-12v01.jpg,rank badge,Qing 19th century,gold wrapped silk thread; linen; peacock feathers; silk; tapestry weave,,unknown,,,Gift of Sandy and Cécile Mactaggart
2005.5.573.1,Silk Shoe for a Woman with Bound Feet,https://search.museums.ualberta.ca/21-20655,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_603_002_re_s19-12v01.jpg,shoe,Qing 19th century,linen; silk; embroidery; braid,overall: 9.8 cm x 14 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.2.10,Album Leaf from Illustrations of Chinese Costumes,https://search.museums.ualberta.ca/21-19957,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_002_010_s21-10v01.jpg,album leaf,Qing 18th century,ink; paper,sheet: 17.2 cm x 28 cm; image: 11.6 cm x 18.5 cm,unknown,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf depicts an ink and watercolour drawing of a man, potentially a merchant, in a two-wheeled cart being operated by two men. The man in the cart sits atop luggage and wears an official’s hat with red tassels over his long, queue braid, which was a regulated hairstyle for men in the Qing dynasty. He also holds onto an open parasol. The two men operating the cart wear straw hats, tunics, and pants tucked into tall boots. The man on the right appears to be pulling the cart, while the man in the rear steers or pushes the cart.",,Gift of Sandy and Cécile Mactaggart
2005.5.501,Embroidered Cream Silk Hanging,https://search.museums.ualberta.ca/21-19723,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_501_re_s20-02v01.jpg,hanging,Modern 20th century,silk; silk brocade; embroidery,overall: 117.9 cm x 51.8 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.12,Landscape After Ni Zan,https://search.museums.ualberta.ca/21-19077,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_012_d01_s22-02v01.jpg,hanging scroll,Qing 17th century,ink on paper,sheet: 105 cm x 54.9 cm; image: 33.5 cm x 41.8 cm,Wang Yu,"A hanging scroll painting of a landscape, painted in the style of the Yuan dynasty painter Ni Zan.",Signed by Dongzhuang Yu and impressed with 1 seal of the artist.,Gift of Sandy and Cécile Mactaggart
2005.5.382.2,Embroidered Cream Silk Sleeve Band,https://search.museums.ualberta.ca/21-20844,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_012_d01_s22-02v01.jpg,sleeve band,Qing 18th century,gold wrapped silk thread; rayon; silk; silk floss; silk satin; mat board; embroidery,overall: 111.1 cm x 9.5 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
2004.19.1.1.6,Album Leaf from Illustrations of Costumes from the Qianlong Court,https://search.museums.ualberta.ca/21-21426,https://media.museums.ualberta.ca/UAAC/fullres/2004/2004_019_001_001_006_s21-03v01.jpg,album leaf,Qing 18th century,ink; silk; paper,sheet: 42.2 cm x 40.8 cm; image: 33.8 cm x 32.3 cm,unknown,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.7) and it contains eight columns of regular script calligraphy describing the regulation of multicolour kerchief pendants (caishui) for the empress dowager and empress.","皇太后 皇后彩帨 謹按本朝定制 皇太后 皇后彩綐 綠色 繡文為五穀豐登 配箴管縏裘之屬 縧皆明黃色  皇貴妃 皇太子妃皆同 Translation of the Chinese text: ""Multicolour kerchief… 

													皇太后 皇后彩帨 謹按本朝定制 皇太后 皇后彩綐 綠色 繡文為五穀豐登 配箴管縏裘之屬 縧皆明黃色  皇貴妃 皇太子妃皆同 Translation of the Chinese text: ""Multicolour kerchief pendants caishui of the Empress Dowager and Empress/In accordance with the decree of the present dynasty: The multicolour kerchief pendants of the Emperess Dowager and the Empress have an embroidered pattern called ""Abundant Harvest of the Five Grains"" (wugu fengden) on a green ground. Things like needle cases and purses [i.e., symbols of female virtue] are hung on the kerchief. The ribbons all are a bright yellow colour.The [design for] the imperial consorts of the emperor and consorts of the imperial heir apparent are the same.""
(Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p.104-105; Modified by Isabel Pi-fen Chueh) 
Read More +",Gift of Sandy and Cécile Mactaggart
2005.5.621.6,Pair of Boots,https://search.museums.ualberta.ca/21-21044,https://media.museums.ualberta.ca/UAAC/fullres/2005/2005_005_621_006_sole-and-back-side_s23-01v01.jpg,boot,Qing 19th century,cotton; silk; leather; ink; felt,,unknown,These knee-high black satin boots are a component of a Qing official’s outfit.,,Gift of Sandy and Cécile Mactaggart
2005.5.576.2,Back Panel of a Rank Badge for an Eighth Rank Civil Official,https://search.museums.ualberta.ca/21-20665,https://media.museums.ualberta.ca/UAAC/bfw/2005/2005_005_576_002_ve_s19-12v01.jpg,rank badge,Qing 19th-20th centuries,embroidery; gold wrapped silk thread; silk; silk floss; silk gauze; silver wrapped silk thread,overall: 28.2 cm x 29.7 cm,unknown,,,Gift of Sandy and Cécile Mactaggart
